SlateID,Date,Season,Operator,OperatorName,OperatorDay,OperatorTime,SalaryCap,NumberOfGames,GameStatus
2025020911_2,2025-02-09,2025,Dream 11,DailyFantasy,2025-02-20,14:21:06,100,1,Announced
2025021011_1,2025-02-10,2025,Dream 11,DailyFantasy,2025-02-20,14:21:07,100,1,Announced
2025021011_2,2025-02-10,2025,Dream 11,DailyFantasy,2025-02-20,14:21:08,100,1,Announced
2025021111_1,2025-02-11,2025,Dream 11,DailyFantasy,2025-02-20,14:21:10,100,1,Announced
2025021211_1,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-20,14:21:11,100,1,Announced
2025021211_2,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-20,14:21:12,100,1,Announced
2025021311_1,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-20,14:21:13,100,1,Announced
2025021311_2,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-20,14:21:14,100,1,Announced
2025021411_1,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-20,14:21:15,100,1,Announced
2025021411_2,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-20,14:21:16,100,1,Announced
2025021511_1,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-20,14:21:18,100,1,Announced
2025021511_2,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-20,14:21:21,100,1,Announced
2025021611_1,2025-02-16,2025,Dream 11,DailyFantasy,2025-02-20,14:21:22,100,1,Announced
2025020311_1,2025-02-03,2025,Dream 11,DailyFantasy,2025-02-20,16:10:47,100,1,Announced
2025020311_2,2025-02-03,2025,Dream 11,DailyFantasy,2025-02-20,16:10:48,100,1,Announced
2025020411_1,2025-02-04,2025,Dream 11,DailyFantasy,2025-02-20,16:10:50,100,1,Announced
2025020411_2,2025-02-04,2025,Dream 11,DailyFantasy,2025-02-20,16:10:53,100,1,Announced
2025020511_1,2025-02-05,2025,Dream 11,DailyFantasy,2025-02-20,16:10:54,100,1,Announced
2025020511_2,2025-02-05,2025,Dream 11,DailyFantasy,2025-02-20,16:10:57,100,1,Announced
2025020611_1,2025-02-06,2025,Dream 11,DailyFantasy,2025-02-20,16:10:58,100,1,Announced
2025020611_2,2025-02-06,2025,Dream 11,DailyFantasy,2025-02-20,16:11:02,100,1,Announced
2025020711_1,2025-02-07,2025,Dream 11,DailyFantasy,2025-02-20,16:11:03,100,1,Announced
2025020711_2,2025-02-07,2025,Dream 11,DailyFantasy,2025-02-20,16:11:05,100,1,Announced
2025020811_1,2025-02-08,2025,Dream 11,DailyFantasy,2025-02-20,16:11:10,100,1,Announced
2025020811_2,2025-02-08,2025,Dream 11,DailyFantasy,2025-02-20,16:11:11,100,1,Announced
2025020911_1,2025-02-09,2025,Dream 11,DailyFantasy,2025-02-20,16:11:12,100,1,Announced
2025020911_2,2025-02-09,2025,Dream 11,DailyFantasy,2025-02-20,16:11:14,100,1,Announced
2025021011_1,2025-02-10,2025,Dream 11,DailyFantasy,2025-02-20,16:11:15,100,1,Announced
2025021011_2,2025-02-10,2025,Dream 11,DailyFantasy,2025-02-20,16:11:17,100,1,Announced
2025021111_1,2025-02-11,2025,Dream 11,DailyFantasy,2025-02-20,16:11:18,100,1,Announced
2025021211_1,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-20,16:11:21,100,1,Announced
2025021211_2,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-20,16:11:25,100,1,Announced
2025021311_1,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-20,16:11:26,100,1,Announced
2025021311_2,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-20,16:11:28,100,1,Announced
2025021411_1,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-20,16:11:29,100,1,Announced
2025021411_2,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-20,16:11:31,100,1,Announced
2025021511_1,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-20,16:11:33,100,1,Announced
2025021511_2,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-20,16:11:35,100,1,Announced
2025021611_1,2025-02-16,2025,Dream 11,DailyFantasy,2025-02-20,16:11:37,100,1,Announced
